#pon-09-1;14/0;2018-11-05;09:00;11:00;A-209
#pon-09-2;14/0;2018-11-05;09:00;11:00;A-210
pon-11-1;14/0;2018-11-05;11:00;13:00;A-209
pon-11-2;14/0;2018-11-05;11:00;13:00;A-210
pon-13-1;14/0;2018-11-05;13:00;15:00;A-209
pon-13-2;14/0;2018-11-05;13:00;15:00;A-210
pon-15-1;14/0;2018-11-05;15:00;17:00;A-209
pon-15-2;14/0;2018-11-05;15:00;17:00;A-210
pon-17-1;14/0;2018-11-05;17:00;19:00;A-209
pon-17-2;14/0;2018-11-05;17:00;19:00;A-210
#pon-19-1;14/0;2018-11-05;19:00;21:00;A-209
#pon-19-2;14/0;2018-11-05;19:00;21:00;A-210
#
#uto-09-1;14/0;2018-11-06;09:00;11:00;A-209
#uto-09-2;14/0;2018-11-06;09:00;11:00;A-210
#uto-11-1;14/0;2018-11-06;11:00;13:00;A-209
uto-11-2;14/0;2018-11-06;11:00;13:00;A-210
#uto-13-1;14/0;2018-11-06;13:00;15:00;A-209
#uto-13-2;14/0;2018-11-06;13:00;15:00;A-210
uto-15-1;14/0;2018-11-06;15:00;17:00;A-209
uto-15-2;14/0;2018-11-06;15:00;17:00;A-210
uto-17-1;14/0;2018-11-06;17:00;19:00;A-209
#uto-17-2;14/0;2018-11-06;17:00;19:00;A-210
uto-19-1;14/0;2018-11-06;19:00;21:00;A-209
uto-19-2;14/0;2018-11-06;19:00;21:00;A-210
#
#sri-08-1;14/0;2018-11-07;08:00;10:00;A-209
#sri-08-2;14/0;2018-11-07;08:00;10:00;A-210
#sri-10-1;14/0;2018-11-07;10:00;12:00;A-209
#sri-10-2;14/0;2018-11-07;10:00;12:00;A-210
sri-12-1;14/0;2018-11-07;12:00;14:00;A-209
#sri-12-2;14/0;2018-11-07;12:00;14:00;A-210
sri-14-1;14/0;2018-11-07;14:00;16:00;A-209
sri-14-2;14/0;2018-11-07;14:00;16:00;A-210
sri-16-1;14/0;2018-11-07;16:00;18:00;A-209
sri-16-2;14/0;2018-11-07;16:00;18:00;A-210
sri-18-1;14/0;2018-11-07;18:00;20:00;A-209
#sri-18-2;14/0;2018-11-07;18:00;20:00;A-210
#
#cet-09-1;14/0;2018-11-08;09:00;11:00;A-209
#cet-09-2;14/0;2018-11-08;09:00;11:00;A-210
#cet-11-1;14/0;2018-11-08;11:00;13:00;A-209
#cet-11-2;14/0;2018-11-08;11:00;13:00;A-210
cet-13-1;14/0;2018-11-08;13:00;15:00;A-209
#cet-13-2;14/0;2018-11-08;13:00;15:00;A-210
cet-15-1;14/0;2018-11-08;15:00;17:00;A-209
#cet-15-2;14/0;2018-11-08;15:00;17:00;A-210
cet-17-1;14/0;2018-11-08;17:00;19:00;A-209
#cet-17-2;14/0;2018-11-08;17:00;19:00;A-210
#cet-19-1;14/0;2018-11-08;19:00;21:00;A-209
#cet-19-2;14/0;2018-11-08;19:00;21:00;A-210
#
#pet-09-1;14/0;2018-11-09;09:00;11:00;A-209
#pet-09-2;14/0;2018-11-09;09:00;11:00;A-210
#pet-11-1;14/0;2018-11-09;11:00;13:00;A-209
#pet-11-2;14/0;2018-11-09;11:00;13:00;A-210
pet-13-1;14/0;2018-11-09;13:00;15:00;A-209
#pet-13-2;14/0;2018-11-09;13:00;15:00;A-210
pet-15-1;14/0;2018-11-09;15:00;17:00;A-209
pet-15-2;14/0;2018-11-09;15:00;17:00;A-210
pet-17-1;14/0;2018-11-09;17:00;19:00;A-209
#pet-17-2;14/0;2018-11-09;17:00;19:00;A-210
#pet-19-1;14/0;2018-11-09;19:00;21:00;A-209
#pet-19-2;14/0;2018-11-09;19:00;21:00;A-210

